rating,track_1,artist_1,album_1,uri_1,track_2,artist_2,album_2,uri_2,is_pop
0.0,Makes Me Wonder,Maroon 5,It's Won't Be Soon Before Long,spotify:track:1lHXlGlve5Zx8tXLhyjDwM,Too Good At Goodbyes,Sam Smith,The Thrill of It All,spotify:track:3VlbOrM6nYPprVvzBZllE5,
0.0,Gust of Wind,Pharrell Williams,GIRL,spotify:track:1DylszI7qE7CB0yNugUxV6,Thinkin Bout You,Aaron Krause,,spotify:track:1AQ5bVkpsK36qR0sJkWLfp,
0.0,Sunflower,Post Malone,,spotify:track:3KkXRkHbMCARz0aVfEt68P,River of Tears,Alessia Cara,,spotify:track:5NRl32BO29q8xtWFvOlHZE,
0.0,Angels in Chelsea,Rachel Platten,,spotify:track:7rZjNS14d2R0JcOlHDPK7N,Let Her Go,Passenger,All the Little Lights,spotify:track:6GmUVqe73u5YRfUUynZK6I,
0.0,Stressed Out,Twenty One Pilots,,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,Here is Home,Ryn Weaver,The Fool,spotify:track:0INX6z1BBtUN0mHLTRU0rC,
0.0,Hold Back the River,James Bay,,spotify:track:4k02jULYYtVsBE8yLHuYhi,Bang Bang,Jessie J,,spotify:track:0puf9yIluy9W0vpMEUoAnN,
0.0,Sk8er Boi,Avril Lavigne,,spotify:track:00Mb3DuaIH1kjrwOku9CGU,Bambi,Hippo Campus,,spotify:track:5dmPNuHmRRJuHmJTDa7NuJ,
0.0,Swan Song ,Dua Lipa,,spotify:track:5600nq7TiBraBX2jobyJ3l,Giant,"Calvin Harris, Rag'n'Bone Man",,spotify:track:5itOtNx0WxtJmi1TQ3RuRd,
0.0,Lost in the Fire,"Gasaffelstein, The Weeknd",,spotify:track:7wFybC8jBH3zE139OpCtpG,Without Me,Halsey,,spotify:track:5p7ujcrUXASCNwRaWNHR1C,
0.0,Stay With Me,Sam Smith,,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,Uptown Funk,Mark Ronson,,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,
0.0,Nothing Compares 2 U,Sinead O'Connor,,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,U Can't Touch This,MC Hammer,,spotify:track:1B75hgRqe7A4fwee3g3Wmu,
0.0,Hold My Heart,Sara Bareilles,,spotify:track:46QrTPAuu0iJHnECJKIWWH,Baby,Justin Bieber,,spotify:track:6epn3r7S14KUqlReYr77hA,
0.0,8TEEN,Khalid,,spotify:track:5bgwqaRSS3M8WHWruHgSL5,How to Be a Heartbreaker,MARINA,,spotify:track:2Ow4Pmi0VOOLvbmJ8V70qo,1
0.0,Big Girls Don't Cry,Fergie,,spotify:track:3Q4WeJmzxuDpzMu9QjQqbM,4 in the Morning,Gwen Stefani,,spotify:track:64fSdRkaB7ksxI9suUGYmi,
0.0,Down So Long,Jewel,,spotify:track:6ZOW98RAfqBHNOmT5ERrDr,Black or White,Yoe Mase,,spotify:track:4yNZj1UKiIl4LnvJjY7xHe,
0.0,Upward Over the Mountain,Iron & Wine,,spotify:track:3SJzHTQOaMY0SxoEKLW2Z5,Meet Me at the Creek,Billy Strings,,spotify:track:3SJzHTQOaMY0SxoEKLW2Z5,1
0.0,Run Away With Me,Carly Rae Jepsen,,spotify:track:109zTcJZq088RiXANFRC7j,How to Save a Life,The Fray,,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,
0.0,Sunflower,Post Malone,,spotify:track:3KkXRkHbMCARz0aVfEt68P,The Man Who Has Everything,Chance the Rapper,,spotify:track:3woRy7uxzl1lO2XO99oHsN,
0.0,Friday I'll Be Over U,Allison Iraheta,,spotify:track:7B4olBjQtzl8Fu2AknNWeX,Vanessa,Lostboycrow,,spotify:track:6m91TjjfAUv4D7rBFNB04o,
0.0,How to Save a Life,The Fray,,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,Sippin' On Fire,Florida Georgia Line,,spotify:track:0H9Q7Vzu8nYRDBZYKbtU8d,1
0.0,How to Save a Life,The Fray,,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,Never Ending Circles,CHVRCHES,,spotify:track:0NEigSzgUNzLktlgS8CZxn,
0.0,Never Ending Circles,CHVRCHES,,spotify:track:0NEigSzgUNzLktlgS8CZxn,Switzerland,Daughter,,spotify:track:34FDwcjBvH90OMcEdchfHc,
0.0,Switzerland,Daughter,,spotify:track:34FDwcjBvH90OMcEdchfHc,Some Kind of Magic,LVTHER,,spotify:track:4wLfRv7Og2J02JLayZIYph,
0.0,See You Again,Wiz Khalifa,,spotify:track:2JzZzZUQj3Qff7wapcbKjc,I Don't Have to Try,Avril Lavigne,,spotify:track:6fYW5h43aRUbEMZmeC4MUJ,
