,acousticness_1,danceability_1,energy_1,instrumentalness_1,liveness_1,loudness_1,mode_1,speechiness_1,tempo_1,time_signature_1,type_1,valence_1,acousticness_2,danceability_2,energy_2,instrumentalness_2,liveness_2,loudness_2,mode_2,speechiness_2,tempo_2,time_signature_2,type_2,valence_2
0,0.122,0.606,0.58,0.0,0.0983,-7.007,0,0.0355,130.857,4,audio_features,0.388,0.000614,0.551,0.825,0.307,0.115,-5.813,1,0.0306,107.031,4,audio_features,0.686
0,0.00975,0.603,0.801,0.0,0.0443,-4.095,1,0.0326,89.998,4,audio_features,0.863,0.203,0.541,0.812,0.0,0.42,-3.764,1,0.0336,141.056,4,audio_features,0.607
0,0.154,0.659,0.911,0.000304,0.191,-2.28,1,0.0786,91.999,4,audio_features,0.576,0.031,0.473,0.82,1.55e-05,0.0414,-5.702,1,0.0408,84.893,4,audio_features,0.678
0,0.508,0.641,0.601,9.33e-06,0.121,-8.51,1,0.0337,104.984,4,audio_features,0.553,0.348,0.591,0.718,0.000118,0.107,-6.025,1,0.0368,117.995,4,audio_features,0.468
0,0.000712,0.695,0.915,0.0,0.0311,-3.549,1,0.0497,141.019,4,audio_features,0.874,0.00098,0.502,0.938,0.0,0.318,-3.114,1,0.13,144.077,4,audio_features,0.35
0,0.0629,0.673,0.902,0.000174,0.0552,-2.378,1,0.0347,100.016,4,audio_features,0.521,0.011,0.487,0.876,0.0,0.401,-3.152,1,0.0946,164.997,4,audio_features,0.725
0,0.000738,0.56,0.959,0.000206,0.209,-2.433,1,0.102,163.983,4,audio_features,0.67,0.00611,0.701,0.7,0.0,0.0295,-4.934,1,0.0876,122.035,4,audio_features,0.625
0,0.0866,0.534,0.794,4.6e-06,0.0497,-4.76,1,0.0449,164.989,4,audio_features,0.595,0.417,0.507,0.747,0.0,0.12,-6.28,1,0.0341,159.98,4,audio_features,0.44
0,0.28,0.724,0.647,0.0,0.102,-5.642,1,0.0658,106.96,4,audio_features,0.435,0.0764,0.398,0.716,0.0,0.0848,-5.254,1,0.0392,117.295,4,audio_features,0.494
0,0.0668,0.693,0.604,0.0,0.114,-5.279,1,0.0427,75.014,4,audio_features,0.651,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,1,0.0705,136.041,4,audio_features,0.533
0,0.0553,0.633,0.675,2.67e-05,0.102,-8.163,1,0.041,112.955,4,audio_features,0.746,0.113,0.836,0.533,0.0105,0.296,-11.263,1,0.0332,120.08,4,audio_features,0.957
0,0.0733,0.382,0.416,0.0,0.0719,-9.303,1,0.0302,102.089,4,audio_features,0.125,0.0596,0.706,0.713,0.0,0.132,-5.512,0,0.0301,102.037,4,audio_features,0.544
0,0.541,0.485,0.723,1.12e-06,0.075,-6.565,1,0.0317,167.845,4,audio_features,0.541,0.259,0.541,0.602,1.37e-06,0.125,-6.033,1,0.0257,81.32,4,audio_features,0.446
0,0.259,0.541,0.602,1.37e-06,0.125,-6.033,1,0.0257,81.32,4,audio_features,0.446,0.834,0.461,0.267,2.03e-05,0.107,-8.514,1,0.0278,87.918,4,audio_features,0.481
0,0.226,0.718,0.801,0.0,0.39,-2.581,1,0.0386,127.016,4,audio_features,0.538,0.124,0.699,0.743,3.69e-05,0.639,-2.604,0,0.108,155.234,4,audio_features,0.824
0,0.135,0.567,0.65,1.94e-05,0.11,-5.478,1,0.0447,76.036,4,audio_features,0.154,0.239,0.712,0.647,0.0,0.0955,-4.277,1,0.0336,113.116,4,audio_features,0.292
0,0.135,0.567,0.65,1.94e-05,0.11,-5.478,1,0.0447,76.036,4,audio_features,0.154,0.25,0.764,0.487,0.0,0.184,-6.734,1,0.0281,116.027,4,audio_features,0.352
0,0.45,0.741,0.52,1.97e-06,0.222,-7.513,1,0.0656,102.998,4,audio_features,0.347,0.578,0.725,0.321,0.0,0.0884,-10.744,0,0.323,70.142,4,audio_features,0.319
0,0.682,0.486,0.632,0.0,0.0869,-6.89,1,0.0344,147.892,4,audio_features,0.0791,0.0549,0.564,0.714,0.0,0.155,-4.987,1,0.129,175.924,4,audio_features,0.33
0,0.000239,0.417,0.824,0.0545,0.0725,-7.36,0,0.105,157.92,4,audio_features,0.4,0.00483,0.516,0.518,0.00895,0.585,-10.383,1,0.04,108.027,4,audio_features,0.0834
0,0.243,0.265,0.312,0.0,0.0893,-11.689,1,0.0569,54.747,3,audio_features,0.0998,0.726,0.253,0.139,5.01e-05,0.269,-17.067,1,0.0414,74.369,3,audio_features,0.102
0,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,audio_features,0.661,0.0243,0.646,0.644,0.0,0.0888,-6.763,1,0.031,99.999,4,audio_features,0.251
0,0.0579,0.827,0.491,8.68e-05,0.292,-7.305,0,0.1,93.019,4,audio_features,0.647,0.774,0.816,0.255,0.00684,0.114,-10.016,0,0.0416,89.922,4,audio_features,0.323
0,0.121,0.805,0.8,0.0,0.0586,-5.444,1,0.041,117.0,4,audio_features,0.809,0.189,0.734,0.808,0.699,0.315,-6.448,0,0.106,114.764,4,audio_features,0.805
0,0.00786,0.498,0.598,0.0,0.111,-6.638,0,0.0377,140.078,4,audio_features,0.0573,0.00499,0.0993,0.626,0.00161,0.0741,-8.212,0,0.0467,49.452,5,audio_features,0.0399
0,0.0849,0.73,0.433,0.0,0.169,-7.05,1,0.0455,94.596,4,audio_features,0.572,0.0745,0.607,0.76,0.0,0.0595,-5.229,1,0.0482,88.059,4,audio_features,0.805
0,0.0398,0.655,0.668,0.0302,0.0759,-6.733,1,0.0272,93.003,4,audio_features,0.867,0.00222,0.447,0.663,0.00275,0.127,-7.399,0,0.033,153.87,4,audio_features,0.456
0,0.0362,0.672,0.655,0.0,0.117,-5.021,0,0.0311,134.945,4,audio_features,0.556,0.0654,0.664,0.705,0.0,0.115,-4.972,0,0.0382,122.017,4,audio_features,0.477
0,0.106,0.812,0.625,8.03e-05,0.0765,-7.392,1,0.117,115.017,4,audio_features,0.545,0.0401,0.789,0.65,0.0,0.249,-6.16,0,0.121,87.983,4,audio_features,0.617
0,0.217,0.704,0.611,0.0,0.0812,-6.112,1,0.0409,100.0,4,audio_features,0.22,0.0458,0.537,0.656,2.54e-06,0.112,-5.863,0,0.0411,141.873,4,audio_features,0.45
0,0.0653,0.421,0.873,0.0,0.123,-4.343,1,0.0565,84.803,4,audio_features,0.63,0.104,0.835,0.706,0.0,0.137,-3.219,1,0.193,94.086,4,audio_features,0.843
0,0.00701,0.578,0.866,0.0,0.257,-3.804,1,0.0619,128.038,4,audio_features,0.619,0.0227,0.652,0.877,0.0,0.0789,-2.986,1,0.0465,118.491,4,audio_features,0.486
